Date,Price,Open,High,Low,Vol.,Change %
1/12/93,602.59,602.59,602.59,602.59,,4.62%
1/11/93,576.00,576.00,576.00,576.00,,-4.00%
1/10/93,600.02,600.02,600.02,600.02,,11.82%
1/9/93,536.61,536.61,536.61,536.61,,-1.65%
1/8/93,545.59,545.59,545.59,545.59,,9.43%
1/7/93,498.59,498.59,498.59,498.59,,12.79%
1/6/93,442.06,442.06,442.06,442.06,,-3.58%
1/5/93,458.45,458.45,458.45,458.45,,1.82%
1/4/93,450.26,450.26,450.26,450.26,,15.14%
1/3/93,391.04,391.04,391.04,391.04,,8.08%
1/2/93,361.81,361.81,361.81,361.81,,9.87%
1/1/93,329.31,329.31,329.31,329.31,,5.11%
1/12/92,313.31,313.31,313.31,313.31,,-2.29%
1/11/92,320.64,320.64,320.64,320.64,,12.89%
1/10/92,284.04,284.04,284.04,284.04,,23.17%
1/9/92,230.60,230.60,230.60,230.60,,8.65%
1/8/92,212.25,212.25,212.25,212.25,,-15.50%
1/7/92,251.18,251.18,251.18,251.18,,-12.85%
1/6/92,288.23,288.23,288.23,288.23,,-11.09%
1/5/92,324.19,324.19,324.19,324.19,,2.08%
1/4/92,317.57,317.57,317.57,317.57,,1.17%
1/3/92,313.89,313.89,313.89,313.89,,-9.88%
1/2/92,348.32,348.32,348.32,348.32,,-0.51%
1/1/92,350.09,350.09,350.09,350.09,,16.24%
1/12/91,301.17,301.17,301.17,301.17,,-9.98%
1/11/91,334.57,334.57,334.57,334.57,,1.79%
1/10/91,328.68,328.68,328.68,328.68,,-1.04%
1/9/91,332.15,332.15,332.15,332.15,,-13.75%
1/8/91,385.09,385.09,385.09,385.09,,-4.61%
1/7/91,403.68,403.68,403.68,403.68,,5.30%
1/6/91,383.36,383.36,383.36,383.36,,-9.51%
1/5/91,423.63,423.63,423.63,423.63,,-0.28%
1/4/91,424.82,424.82,424.82,424.82,,-6.37%
1/3/91,453.73,453.73,453.73,453.73,,15.80%
1/2/91,391.81,391.81,391.81,391.81,,13.41%
1/1/91,345.47,345.47,345.47,345.47,,-6.75%
1/12/90,370.48,370.48,370.48,370.48,,-3.56%
1/11/90,384.16,384.16,384.16,384.16,,2.42%
1/10/90,375.08,375.08,375.08,375.08,,-2.26%
1/9/90,383.74,383.74,383.74,383.74,,-19.87%
1/8/90,478.87,478.87,478.87,478.87,,-6.99%
1/7/90,514.85,514.85,514.85,514.85,,1.22%
1/6/90,508.65,508.65,508.65,508.65,,-4.80%
1/5/90,534.29,534.29,534.29,534.29,,0.20%
1/4/90,533.20,533.20,533.20,533.20,,-6.61%
1/3/90,570.94,570.94,570.94,570.94,,-6.65%
1/2/90,611.58,611.58,611.58,611.58,,-2.03%
1/1/90,624.23,624.23,624.23,624.23,,10.79%
1/12/89,563.46,563.46,563.46,563.46,,-0.05%
1/11/89,563.77,563.77,563.77,563.77,,-10.15%
1/10/89,627.46,627.46,627.46,627.46,,-4.82%
1/9/89,659.21,659.21,659.21,659.21,,-9.43%
1/8/89,727.81,727.81,727.81,727.81,,-1.49%
1/7/89,738.84,738.84,738.84,738.84,,-1.28%
1/6/89,748.43,748.43,748.43,748.43,,-3.47%
1/5/89,775.37,775.37,775.37,775.37,,-0.75%
1/4/89,781.23,781.23,781.23,781.23,,2.09%
1/3/89,765.27,765.27,765.27,765.27,,5.01%
